Kenteken,Voertuigsoort,Merk,Handelsbenaming,Bruto BPM,Cilinderinhoud,Massa ledig voertuig,Toegestane maximum massa voertuig,Catalogusprijs,WAM verzekerd
NR743X,Personenauto,FORD,FIESTA,2023,998,955,1530,18126,Ja
ZL19JL,Personenauto,FORD,FIESTA 1.1I CHEERS U9,,1118,803,1250,,Nee
51GZT7,Personenauto,MITSUBISHI,MITSUBISHI COLT,1461,1124,905,1420,,Ja
6SLN83,Personenauto,VOLVO,C30,1083,1560,1256,1780,27906,Ja
HN673D,Personenauto,FORD-CNG-TECHNIK,C-MAX ENERGI,451,1999,1725,2250,37795,Ja
49SRP7,Personenauto,DACIA,LOGAN,4394,1598,1180,1840,16530,Ja
JJVN21,Personenauto,OPEL,KADETT HATCHBACK 2.0SEH GSI B6,3593,1998,940,1450,,Nee
93SXR5,Personenauto,PEUGEOT,5008,7003,1598,1465,2225,34250,Ja
57RSSZ,Personenauto,CITROEN,BERLINGO,4191,1587,1226,1840,19334,Ja
48TZX6,Personenauto,VOLKSWAGEN,POLO,,1199,1050,1590,16776,Ja
44SNF5,Personenauto,FORD,S-MAX,6979,1596,1502,2400,37245,Ja
44PTG8,Personenauto,OPEL,CORSA,2237,1229,1059,1605,16119,Ja
HB785R,Personenauto,FORD,FOCUS,4503,1498,1225,1900,29405,Ja
G432PB,Personenauto,RENAULT,ZOE,,,1448,1923,32563,Ja
8ZNG63,Personenauto,HYUNDAI,I20,2530,1248,945,1515,16585,Ja
96LGRX,Personenauto,MAZDA,MAZDA 626,7102,1998,1335,1930,,Ja
G138GB,Personenauto,KIA,VENGA,2794,1591,1169,1730,25637,Ja
5ZKS76,Personenauto,KIA,PICANTO,735,998,820,1340,12196,Ja
70TFDJ,Personenauto,FIAT,FIAT PANDA,1386,1108,815,1255,,Ja
23PDK3,Personenauto,NISSAN,NISSAN QASHQAI+2,7813,1997,1350,2108,31631,Ja
7ZTJ62,Personenauto,CITROEN,C4 CACTUS,1699,1560,1045,1610,22955,Ja
78SFL8,Personenauto,AUDI,AUDI Q5,18999,1968,1795,2430,68824,Ja
63HHX2,Personenauto,FIAT,FIAT BRAVO,4556,1368,1235,1770,,Ja
95PVT3,Personenauto,VOLKSWAGEN,GOLF,3831,1197,1171,1790,28021,Ja
36HFBR,Personenauto,CHEVROLET,CREVROLET G 2500 VAN,15616,,3050,3500,,Ja
5TPG33,Personenauto,PEUGEOT,2008,1155,1199,1030,1593,23230,Ja
99HTFT,Personenauto,OPEL,ZAFIRA-A,5568,2198,1365,1990,,Ja
11ZHKZ,Personenauto,MERCEDES-BENZ,C 200 KOMPRESSOR,12541,1796,1405,1990,50755,Nee
SFVX53,Personenauto,VOLKSWAGEN,GOLF GL 66 KW E2,,1781,999,1540,,Ja
74KTG6,Personenauto,BMW,X REIHE,28581,2993,2085,2790,104911,Ja
ZB676S,Personenauto,MITSUBISHI,MITSUBISHI SPACE STAR,2990,999,845,1290,13569,Ja
ZG238B,Personenauto,MERCEDES-BENZ,AMG A 35,16938,1991,1455,2055,85883,Ja
06XGTH,Personenauto,OPEL,ANTARA,8983,2405,1705,2272,36035,Ja
95JXNF,Personenauto,SUZUKI,SWIFT,1174,993,720,1250,,Ja
65TGX5,Personenauto,VOLVO,V50,4712,1560,1290,1900,31034,Ja
NB590G,Personenauto,VOLKSWAGEN,UP!,1822,999,834,1330,16363,Ja
45PRL9,Personenauto,TOYOTA,TOYOTA AYGO,,998,805,1190,11180,Ja
KT644V,Personenauto,MERCEDES-BENZ,E 350 E,469,1991,1825,2565,67840,Ja
33PPFG,Personenauto,TOYOTA,YARIS,2686,1298,870,1385,,Ja
KD708Z,Personenauto,AUDI,A4 AVANT,5882,1968,1500,2145,55302,Ja
HG2580,Personenauto,CHEVROLET,1839 E,,,1715,,,Ja
GX218D,Personenauto,KIA,PICANTO,2323,1248,840,1430,15390,Ja
86XRFS,Personenauto,PEUGEOT,206,2406,1360,925,1450,12440,Ja
75NRTK,Personenauto,MITSUBISHI,COLT,2587,1299,925,1445,,Ja
8TFN62,Personenauto,BMW,3ER REIHE,2446,1997,1325,1870,53414,Ja
RJ669T,Personenauto,HYUNDAI,IX20,1041,1396,1153,1710,19765,Ja
04RKT9,Personenauto,KIA,PICANTO,,1248,830,1370,13129,Ja
7ZJP75,Personenauto,MAZDA,MAZDA CX-5,5670,1998,1295,1930,33035,Ja
06HGN1,Personenauto,DAIHATSU,SIRION,1277,998,865,1390,10897,Ja
66HJR5,Personenauto,FORD,FOCUS,4918,1596,1177,1820,24824,Ja
JV569J,Personenauto,RENAULT,CLIO,276,898,984,1588,18710,Ja
J617NK,Personenauto,MERCEDES-BENZ,GLA 200,7022,1332,1385,2010,55195,Ja
49RBDS,Personenauto,RENAULT,CLIO,2813,1149,940,1510,,Ja
6ZGN34,Personenauto,TOYOTA,TOYOTA AYGO,,998,830,1240,12650,Ja
88PRRZ,Personenauto,FORD,FOCUS C-MAX,8761,1997,1391,1990,,Ja
00LDB7,Personenauto,PEUGEOT,PEUGEOT 107,,998,780,1190,11000,Ja
6TRR92,Personenauto,FIAT,FIAT PUNTO,1477,1242,990,1575,13066,Ja
02PTD3,Personenauto,FORD,TRANSIT 120,,2494,1740,2810,,Ja
21ZNS2,Personenauto,TOYOTA,TOYOTA AYGO,,998,805,1190,10620,Ja
51TDS1,Personenauto,VOLKSWAGEN,POLO,,1199,1050,1590,18686,Ja
34STKP,Personenauto,JAGUAR,X-TYPE 2.0 V6,9581,2099,1371,1995,,Ja
XP216J,Personenauto,OPEL,GRANDLAND X,5348,1199,1270,1900,39720,Ja
14SZXP,Personenauto,FIAT,FIAT PANDA,1014,1108,815,1255,,Ja
ZR479D,Personenauto,SUZUKI,SWIFT,1882,1242,825,1365,19685,Ja
79LRD4,Personenauto,MERCEDES-BENZ,280 SEL,,2746,1590,2110,,Ja
HG237F,Personenauto,RENAULT,CAPTUR,3750,1197,1155,1726,23185,Ja
12NGV1,Personenauto,TOYOTA,TOYOTA AYGO,1198,998,805,1180,,Ja
61KHP1,Personenauto,DACIA,LOGAN,2894,1598,1140,1740,,Ja
34RGG2,Personenauto,RENAULT,CLIO,,1461,1074,1665,16900,Ja
31SXT9,Personenauto,HYUNDAI,I20,1189,1248,945,1515,13490,Ja
ZF703Z,Personenauto,VOLVO,XC40,9426,1477,1525,2120,48460,Ja
5XSJ29,Personenauto,KIA,VENGA,7560,1591,1169,1730,24885,Ja
SVVX27,Personenauto,FORD,ESCORT,3530,1796,1100,1685,,Ja
KT486T,Personenauto,SKODA,CITIGO,1822,999,834,1330,12920,Ja
72HJZN,Personenauto,SKODA,FABIA,3775,1390,1075,1615,,Ja
31ZNKV,Personenauto,BMW,1ER REIHE,6259,1599,1230,1755,29894,Ja
91ZBDL,Personenauto,MITSUBISHI,MITSUBISHI OUTLANDER,8135,2360,1465,2290,,Ja
49SXGP,Personenauto,SUZUKI,SWIFT,2022,1328,945,1485,9088,Ja
48ZJJZ,Personenauto,TOYOTA,TOYOTA AYGO,308,998,780,1190,9172,Ja
41KXJ9,Personenauto,FORD,FIESTA,2591,1242,941,1490,16081,Ja
29SLD9,Personenauto,VOLKSWAGEN,POLO,,1199,1050,1590,19311,Ja
RV391Z,Personenauto,TOYOTA,TOYOTA AYGO,1447,998,815,1240,13060,Ja
GX27HH,Personenauto,VOLKSWAGEN,171331 GOLF GTI,,,832,,,Nee
ZK488N,Personenauto,RENAULT,CLIO,2466,999,1065,1603,19570,Ja
88LPXR,Personenauto,OPEL,ASTRA-G-CARAVAN,3784,1598,1109,1690,,Ja
RV983X,Personenauto,FORD,FIESTA,2014,998,1063,1670,20465,Ja
22KNS2,Personenauto,PEUGEOT,PEUGEOT 107,,998,780,1190,10994,Ja
HD081J,Personenauto,CITROEN,C3,1702,1199,955,1541,20165,Ja
36PPZ8,Personenauto,AUDI,AUDI A7,21556,2995,1760,2335,122331,Ja
4KNK68,Personenauto,FORD,FOCUS,1010,1560,1274,1900,27906,Ja
TRXN04,Personenauto,OPEL,ASTRA-G-CARAVAN,4519,1995,1214,1795,,Nee
H873ZR,Personenauto,OPEL,CORSA-E,2058,1398,1063,1630,21395,Ja
1TBT52,Personenauto,DACIA,DUSTER,6426,1197,1177,1752,19269,Ja
SG458T,Personenauto,PEUGEOT,208,1724,1199,950,1546,17621,Ja
NX253B,Personenauto,FIAT,FIAT 500,1297,964,840,1305,16530,Ja
54TFBG,Personenauto,CHEVROLET,BLAZER,,5730,2060,2747,,Ja
22XBN6,Personenauto,CITROEN,CITROEN C1,,998,805,1190,10435,Ja
1KGP12,Personenauto,BMW,5ER REIHE,8139,1997,1700,2365,90298,Ja
3SBG84,Personenauto,RENAULT,MEGANE SCENIC,5000,1197,1295,1955,28729,Nee
08PDRB,Personenauto,RENAULT,TWINGO,1851,1149,805,1255,,Nee
J270LH,Personenauto,KIA,PICANTO,1881,998,878,1400,14615,Ja
J438SH,Personenauto,BMW,118I,5038,1499,1295,1870,39290,Ja
1ZPR49,Personenauto,RENAULT,CAPTUR,2935,898,1076,1658,21080,Ja
JK268T,Personenauto,NISSAN,NISSAN QASHQAI+2,6967,1598,1265,2072,32630,Ja
14XTTD,Personenauto,FORD,MONDEO,9668,2521,1467,2185,,Ja
KS255R,Personenauto,OPEL,KARL / VIVA,1684,999,839,1353,12390,Ja
G377JJ,Personenauto,PEUGEOT,3008,4824,1199,1295,1910,38920,Ja
NH197F,Personenauto,FORD,FOCUS,3381,999,1216,1900,28058,Ja
99SBJ2,Personenauto,SKODA,FABIA,,1199,1103,1658,16169,Ja
44SFD7,Personenauto,VOLKSWAGEN,TIGUAN,6571,1390,1410,2080,35317,Ja
H223GG,Personenauto,HONDA,CR-V,6374,1993,1643,2275,55445,Ja
G292TV,Personenauto,TESLA,MODEL 3,,,1831,2305,60130,Ja
08SBL5,Personenauto,PEUGEOT,308,4566,1598,1262,1815,24190,Ja
41XNBN,Personenauto,FIAT,FIAT PUNTO,3963,1368,1035,1540,,Ja
89KKS1,Personenauto,PEUGEOT,207,3366,1598,1178,1671,19294,Ja
11RFT2,Personenauto,OPEL,CORSA,,1248,1099,1635,18039,Ja
96PPFB,Personenauto,OPEL,AGILA,2022,1199,955,1450,,Ja
XL723B,Personenauto,VOLKSWAGEN,UP!,1942,999,834,1330,12569,Ja
XV392F,Personenauto,TESLA,MODEL 3,,,1831,2305,62000,Ja
H059GP,Personenauto,SKODA,FABIA,3407,999,1016,1571,19945,Ja
55RJSF,Personenauto,SUZUKI,SWIFT,3133,1490,975,1485,12059,Ja
HT031X,Personenauto,VOLKSWAGEN,GOLF,3495,1395,1171,1780,32487,Ja
63PKZ3,Personenauto,OPEL,ASTRA,9230,1956,1490,2065,34999,Ja
KJ141H,Personenauto,TOYOTA,TOYOTA AURIS,856,1798,1310,1815,27270,Ja
ZG797P,Personenauto,NISSAN,NISSAN QASHQAI+2,8782,1997,1350,2108,30833,Ja
